Question	Answer
Entschuldigung, können Sie mir helfen?	Excuse me, can you help me? / ببخشید، میتوانید کمکم کنید؟
Ich hätte gerne...	I would like... / من دوست داشتم...
Können Sie das bitte wiederholen?	Can you please repeat that? / لطفا تکرار کنید
Ich verstehe nicht	I don't understand / متوجه نمیشوم
Können Sie bitte langsamer sprechen?	Can you please speak slower? / لطفا آرام تر صحبت کنید
Was bedeutet das?	What does that mean? / این به چه معنی است؟
Wie sagt man... auf Deutsch?	How do you say... in German? / به آلمانی چه میگویند...
Entschuldigung, wo ist...?	Excuse me, where is...? / ببخشید، کجا است...
Ich suche...	I'm looking for... / من دنبال ... هستم
Wie viel kostet das?	How much does this cost? / این چقدر هزینه دارد؟
Kann ich mit Karte zahlen?	Can I pay by card? / میتوانم با کارت پرداخت کنم؟
Die Rechnung, bitte	The bill, please / لطفا حساب را بدهید
Ich möchte einen Tisch für zwei	I'd like a table for two / من یک میز برای دو نفر می خواهم
Können Sie mir die Speisekarte bringen?	Can you bring me the menu? / لطفا منو را بیاورید
Ist hier noch frei?	Is this seat free? / آیا اینجا خالی است؟
Wo ist die Toilette?	Where is the bathroom? / دستشویی کجا است؟
Ich bin allergisch gegen...	I'm allergic to... / من به ... حساسیت دارم
Können Sie mir empfehlen?	Can you recommend something? / میتوانید توصیه کنید؟
Ich hätte gern einen Kaffee	I'd like a coffee / من یک قهوه می خواهم
Zum Mitnehmen oder zum Hier essen?	To take away or to eat here? / برای بردن یا اینجا خوردن؟
Wo kann ich... kaufen?	Where can I buy...? / کجا میتوانم ... بخرم؟
Haben Sie das in einer anderen Farbe?	Do you have this in another color? / آیا این را به رنگ دیگری دارید؟
Das passt mir nicht	This doesn't fit me / این به من نمیخورد
Ich brauche etwas größeres/kleineres	I need something bigger/smaller / من چیز بزرگتر/کوچکتری نیاز دارم
Gibt es einen Rabatt?	Is there a discount? / تخفیف دارد؟
Ich möchte das umtauschen	I'd like to exchange this / من می خواهم این را عوض کنم
Können Sie mir helfen?	Can you help me? / میتوانید کمکم کنید؟
Wo ist der nächste Bahnhof?	Where is the nearest train station? / نزدیکترین ایستگاه قطار کجا است؟
Einfach geradeaus	Go straight ahead / مستقيم بروید
Links/Rechts	Left/Right / چپ/راست
Wie komme ich zum...?	How do I get to...? / چطور به ... برسم؟
Ich möchte eine Fahrkarte	I'd like a ticket / من یک بلیط می خواهم
Hin- und Rückfahrkarte	return ticket / بلیط رفت و برگشت
Einzelkarte	single ticket / بلیط تک
Abfahrt	departure / حرکت
Ankunft	arrival / رسیدن
Verspätung	delay / تاخیر
Ausgang	exit / خروج
Eingang	entrance / ورود
Zoll	customs / گمرک
der Flughafen	airport / فرودگاه
die Unterkunft	accommodation / اقامت
die Reservierung	reservation / رزرو
die Bestätigung	confirmation / تایید
Wie geht es Ihnen?	How are you? / حال شما چطور است؟
Mir geht es gut, danke.	I'm fine, thank you. / خوبم، ممنون.
Was machen Sie beruflich?	What do you do for a living? / چه کاری انجام می دهید؟
Ich bin Student/in.	I'm a student. / من دانشجو هستم.
Woher kommen Sie?	Where are you from? / از کجا آمده اید؟
Ich komme aus dem Iran.	I'm from Iran. / من از ایران آمده اید.
Wie lange wohnen Sie schon hier?	How long have you lived here? / چند وقت است اینجا زندگی می کنید?
Ich wohne seit drei Jahren hier.	I've lived here for three years. / سه سال است اینجا زندگی می کنم.
Haben Sie Geschwister?	Do you have siblings? / خواهر یا برادر دارید؟
Ich habe einen Bruder und eine Schwester.	I have a brother and a sister. / یک برادر و یک خواهر دارم.
Können Sie mir die Rechnung bringen?	Can you bring me the bill? / لطفا حساب را بیاورید
Ist Service inklusive?	Is service included? / سرویس شامل می شود؟
Ich möchte ein Glas Wasser.	I'd like a glass of water. / من یک لیوان آب می خواهم.
Können wir zahlen, bitte?	Can we pay, please? / لطفا حساب کنیم.
Wo ist der nächste Supermarkt?	Where is the nearest supermarket? / نزدیکترین سوپرمارکت کجا است?
Ich brauche noch...	I still need... / هنوز ... نیاز دارم.
Haben Sie das in einer anderen Größe?	Do you have this in another size? / آیا این را به سایز دیگری دارید?
Das ist zu teuer.	That's too expensive. / این خیلی گران است.
Können Sie mir das einpacken?	Can you wrap this for me? / لطفا این را بسته بندی کنید.
Darf ich mit Karte zahlen?	May I pay by card? / میتوانم با کارت پرداخت کنم؟
Können Sie mir eine Quittung geben?	Can you give me a receipt? / لطفا رسید بدهید.
