Question	Answer
Was ist das Perfekt?	Das Perfekt ist eine Vergangenheitsform: haben/sein + Partizip II (Ich habe gearbeitet)
Wie bildet man das Perfekt mit "haben"?	subjekt + haben (konjugiert) + Partizip II (Ich habe gelesen)
Wie bildet man das Perfekt mit "sein"?	subjekt + sein (konjugiert) + Partizip II (Ich bin gegangen)
Wann benutzt man "sein" im Perfekt? Bei Bewegung (gehen, kommen, fahren) und Zustandsänderung (aufwachen, einschlafen)
Was ist Partizip II bei regelmäßigen Verben?	ge- + Stamm + -t (gearbeitet, gelernt, gemacht)
Was ist Partizip II bei unregelmäßigen Verben?	ge- + geänderter Stamm (geschrieben, gelesen, gegessen)
Was ist das Präteritum?	Eine einfache Vergangenheitsform (Ich arbeitete, Ich ging)
Welche Verben werden meistens im Präteritum benutzt? sein, haben, Modalverben (war, hatte, konnte)
Was ist der Unterschied zwischen Perfekt und Präteritum?	Perfekt: gesprochene Sprache; Präteritum: geschriebene Sprache
Was ist der Konjunktiv II?	Der Konjunktiv II drückt Irrealität oder Höflichkeit aus
Wie bildet man Konjunktiv II mit "würde"?	würde + Infinitiv (Ich würde arbeiten)
Was sind die Konjunktiv II-Formen der Modalverben?	könnte, müsste, sollte, wollte, dürfte
Was ist das Passiv?	Das Passiv betont das Objekt: werden + Partizip II (Das Buch wird gelesen)
Wie bildet man das Passiv im Präteritum?	wurde + Partizip II (Das Buch wurde gelesen)
Was ist ein Nebensatz?	Ein Satz mit Nebenordnung, Verb steht am Ende (Weil ich krank bin)
Was sind wichtige Konnektoren für Nebensätze?	weil, dass, wenn, als, während, bevor, nachdem, obwohl
Wie ist die Wortstellung im Nebensatz?	Konjunktion + Subjekt + andere Satzteile + Verb am Ende
Was ist ein Relativsatz?	Ein Nebensatz, der ein Nomen näher beschreibt (Der Mann, der dort steht)
Was sind die Relativpronomen?	der, die, das, die (Plural)
Was ist der Infinitiv mit zu?	zu + Infinitiv nach bestimmten Verben (Ich habe vor, zu reisen)
Was sind trennbare Verben?	Verben, die sich trennen: ab- + trennbare Verben (anfangen → ich fange an)
Was sind untrennbare Verben?	Verben, die sich nicht trennen: be-, er-, ver-, zer-, ent-, emp-
Was ist ein reflexives Verbum?	Ein Verbum mit reflexivem Pronomen (sich waschen, sich freuen)
Was sind wichtige Konjunktionen adversativ?	aber, doch, sondern, jedoch, trotzdem
Was sind wichtige Konjunktionen kausal?	weil, da, denn, deshalb, daher, deswegen
Was sind wichtige Konjunktionen temporal?	als, wenn, während, bevor, nachdem, seit, bis
Was sind wichtige Konjunktionen konditional?	wenn, falls, sofern, vorausgesetzt
Was ist der Konjunktiv I?	Wird in indirekter Rede benutzt (Er sagt, er sei krank)
Was ist der Konjunktiv II für die Vergangenheit?	hätte + Partizip II (Ich hätte gearbeitet)
Was ist der Unterschied zwischen "als" und "wenn"?	als: einmalige Vergangenheit; wenn: wiederholte/bedingte Handlung
Was ist der Unterschied zwischen "obwohl" und "weil"?	obwohl: Gegensatz; weil: Grund
Was ist der Unterschied zwischen "dass" und "ob"?	dass: Aussage; ob: Frage
Wie bildet man Fragen im Deutschen?	Verb + Subjekt + Rest? (Kommst du morgen?)
Wie bildet man Ja/Nein-Fragen?	Verb steht am Anfang (Haben Sie Zeit?)
Wie bildet man W-Fragen?	W-Wort + Verb + Rest? (Was machst du?)
Was ist der bestimmte Artikel?	der, die, das (maskulin, feminin, neutral)
Was ist der unbestimmte Artikel?	ein, eine (maskulin, feminin, neutral)
Was sind die Possessivpronomen?	mein, dein, sein, ihr, unser, euer, ihr
Was sind die Personalpronomen?	ich, du, er, sie, es, wir, ihr, sie, Sie
Was ist der Imperativ?	Befehlsform (Mach das! Kommen Sie!)
Was ist der Unterschied zwischen "du" und "Sie"?	du: informell; Sie: formell
Was sind wichtige Prädikative? sein, werden, bleiben, heißen, scheinen
Was ist der Unterschied zwischen "tun" und "machen"?	tun: eher umgangssprachlich; machen: allgemein
Was ist der Unterschied zwischen "stellen" und "stehen"?	stellen: aktiv; stehen: passiv/in Position
Was ist der Unterschied zwischen "legen" und "liegen"?	legen: aktiv; liegen: passiv/in Position
Was ist der Unterschied zwischen "sitzen" und "setzen"?	sitzen: passiv; setzen: aktiv
Was ist der Unterschied zwischen "hängen" (intransitiv) und "hängen" (transitiv)?	hängen (intransitiv): passiv; hängen (transitiv): aktiv
